Temperature (K)	Pressure (MPa)	Therm. Cond. (W/m*K)	Reference
302.050	21.60	0.0643	Le Neindre et al.
303.250	22.30	0.0654	Le Neindre et al.
302.750	26.90	0.0716	Le Neindre et al.
298.450	30.60	0.077	Le Neindre et al.
302.550	32.30	0.0787	Le Neindre et al.
302.350	38.60	0.0863	Le Neindre et al.
298.650	40.70	0.089	Le Neindre et al.
302.350	45.40	0.0938	Le Neindre et al.
298.750	50.90	0.0997	Le Neindre et al.
302.250	51.40	0.0999	Le Neindre et al.
302.050	58.20	0.1066	Le Neindre et al.
298.650	60.90	0.1088	Le Neindre et al.
301.750	69.00	0.1159	Le Neindre et al.
298.650	71.50	0.1184	Le Neindre et al.
301.650	78.50	0.1232	Le Neindre et al.
298.650	82.10	0.1268	Le Neindre et al.
301.450	87.00	0.1295	Le Neindre et al.
298.550	93.90	0.1344	Le Neindre et al.
301.250	95.90	0.1364	Le Neindre et al.
298.450	101.70	0.1411	Le Neindre et al.
301.150	103.60	0.1419	Le Neindre et al.
301.150	106.90	0.1435	Le Neindre et al.
301.350	116.20	0.1506	Le Neindre et al.
368.850	0.10	0.0451	Le Neindre et al.
368.750	1.10	0.0456	Le Neindre et al.
368.750	4.80	0.0475	Le Neindre et al.
369.050	10.20	0.052	Le Neindre et al.
369.250	20.60	0.0619	Le Neindre et al.
368.850	31.00	0.072	Le Neindre et al.
368.650	41.80	0.0819	Le Neindre et al.
368.550	51.40	0.09	Le Neindre et al.
368.750	60.90	0.0972	Le Neindre et al.
368.750	71.60	0.1051	Le Neindre et al.
368.750	81.50	0.112	Le Neindre et al.
368.550	92.10	0.1192	Le Neindre et al.
368.350	102.30	0.1252	Le Neindre et al.
407.950	0.10	0.0514	Le Neindre et al.
407.650	3.30	0.053	Le Neindre et al.
406.850	10.50	0.058	Le Neindre et al.
406.250	17.60	0.0633	Le Neindre et al.
405.850	24.30	0.0687	Le Neindre et al.
405.650	30.80	0.074	Le Neindre et al.
406.650	38.50	0.0807	Le Neindre et al.
406.150	45.40	0.086	Le Neindre et al.
405.650	52.50	0.0913	Le Neindre et al.
405.150	59.50	0.0963	Le Neindre et al.
404.350	67.20	0.1018	Le Neindre et al.
403.750	77.30	0.1082	Le Neindre et al.
402.850	83.30	0.112	Le Neindre et al.
404.250	95.90	0.1195	Le Neindre et al.
404.250	104.50	0.1243	Le Neindre et al.
404.350	114.70	0.1302	Le Neindre et al.
420.250	0.14	0.0539	Le Neindre et al.
420.250	1.00	0.0544	Le Neindre et al.
420.450	5.00	0.0563	Le Neindre et al.
420.550	10.20	0.0596	Le Neindre et al.
420.450	20.60	0.0671	Le Neindre et al.
420.350	31.00	0.0751	Le Neindre et al.
420.250	40.80	0.0825	Le Neindre et al.
420.250	51.30	0.09	Le Neindre et al.
420.250	60.90	0.0966	Le Neindre et al.
420.150	71.40	0.104	Le Neindre et al.
420.050	81.60	0.11	Le Neindre et al.
419.950	92.10	0.1165	Le Neindre et al.
419.850	101.70	0.1214	Le Neindre et al.
465.550	0.14	0.0623	Le Neindre et al.
465.550	1.00	0.0628	Le Neindre et al.
465.550	5.00	0.0642	Le Neindre et al.
466.050	10.20	0.067	Le Neindre et al.
465.850	20.80	0.0732	Le Neindre et al.
465.650	30.80	0.0796	Le Neindre et al.
465.550	40.80	0.0861	Le Neindre et al.
465.450	51.10	0.0923	Le Neindre et al.
465.350	60.80	0.0982	Le Neindre et al.
465.250	71.00	0.1042	Le Neindre et al.
465.150	81.70	0.1102	Le Neindre et al.
465.150	92.20	0.1161	Le Neindre et al.
464.950	102.50	0.1213	Le Neindre et al.
483.250	0.55	0.0652	Le Neindre et al.
486.850	1.20	0.0664	Le Neindre et al.
483.150	3.40	0.0666	Le Neindre et al.
486.550	6.80	0.0691	Le Neindre et al.
482.850	7.30	0.0686	Le Neindre et al.
482.650	11.80	0.0708	Le Neindre et al.
487.050	15.10	0.0735	Le Neindre et al.
486.650	21.60	0.0772	Le Neindre et al.
485.250	28.40	0.0811	Le Neindre et al.
484.850	35.90	0.0856	Le Neindre et al.
484.550	42.70	0.0898	Le Neindre et al.
484.350	54.10	0.0963	Le Neindre et al.
484.350	55.10	0.0968	Le Neindre et al.
484.050	65.70	0.1025	Le Neindre et al.
483.950	70.60	0.1052	Le Neindre et al.
483.950	72.60	0.1063	Le Neindre et al.
483.750	75.50	0.1078	Le Neindre et al.
483.650	79.40	0.1099	Le Neindre et al.
483.550	84.30	0.1125	Le Neindre et al.
483.550	87.30	0.1142	Le Neindre et al.
483.450	95.10	0.1183	Le Neindre et al.
483.450	104.90	0.1229	Le Neindre et al.
483.450	109.80	0.1251	Le Neindre et al.
483.650	112.80	0.1254	Le Neindre et al.
523.350	0.14	0.0732	Le Neindre et al.
523.350	1.00	0.0737	Le Neindre et al.
523.250	5.00	0.0747	Le Neindre et al.
523.250	10.40	0.0768	Le Neindre et al.
523.150	20.40	0.0816	Le Neindre et al.
523.050	30.70	0.087	Le Neindre et al.
522.950	40.80	0.0922	Le Neindre et al.
522.850	50.90	0.0977	Le Neindre et al.
522.650	60.70	0.1029	Le Neindre et al.
522.650	71.40	0.1083	Le Neindre et al.
522.550	82.40	0.114	Le Neindre et al.
522.450	94.90	0.1202	Le Neindre et al.
571.850	0.10	0.0828	Le Neindre et al.
571.650	5.30	0.0853	Le Neindre et al.
571.450	10.50	0.0873	Le Neindre et al.
571.350	20.70	0.0916	Le Neindre et al.
571.150	30.30	0.0959	Le Neindre et al.
570.850	40.50	0.1006	Le Neindre et al.
570.850	50.90	0.1054	Le Neindre et al.
570.650	60.50	0.1098	Le Neindre et al.
570.550	72.60	0.1152	Le Neindre et al.
570.450	83.70	0.12	Le Neindre et al.
570.350	95.40	0.1252	Le Neindre et al.
570.250	107.90	0.1304	Le Neindre et al.
570.150	117.40	0.1343	Le Neindre et al.
570.050	124.70	0.1375	Le Neindre et al.
575.750	0.10	0.0846	Le Neindre et al.
575.750	1.00	0.0852	Le Neindre et al.
575.750	5.10	0.0861	Le Neindre et al.
575.350	10.10	0.0874	Le Neindre et al.
575.650	20.50	0.0918	Le Neindre et al.
575.550	30.60	0.0962	Le Neindre et al.
575.450	40.80	0.1007	Le Neindre et al.
575.350	50.70	0.1055	Le Neindre et al.
575.350	60.60	0.1103	Le Neindre et al.
575.250	69.20	0.1142	Le Neindre et al.
575.250	80.60	0.1191	Le Neindre et al.
575.150	91.60	0.1238	Le Neindre et al.
575.050	103.50	0.129	Le Neindre et al.
621.450	0.14	0.094	Le Neindre et al.
621.450	1.00	0.0945	Le Neindre et al.
621.450	5.00	0.0954	Le Neindre et al.
621.450	10.20	0.0968	Le Neindre et al.
621.250	20.30	0.1002	Le Neindre et al.
621.250	30.50	0.104	Le Neindre et al.
621.150	40.50	0.1084	Le Neindre et al.
621.050	50.70	0.1123	Le Neindre et al.
620.950	60.90	0.1167	Le Neindre et al.
620.950	68.40	0.1199	Le Neindre et al.
620.950	81.40	0.1254	Le Neindre et al.
620.950	92.10	0.1294	Le Neindre et al.
620.750	102.20	0.1331	Le Neindre et al.
648.650	0.50	0.0987	Le Neindre et al.
648.550	3.40	0.1005	Le Neindre et al.
648.450	7.00	0.1018	Le Neindre et al.
648.450	11.20	0.1031	Le Neindre et al.
648.250	21.10	0.1062	Le Neindre et al.
648.150	30.50	0.1097	Le Neindre et al.
647.950	40.70	0.1134	Le Neindre et al.
647.950	50.30	0.1173	Le Neindre et al.
647.850	59.40	0.1206	Le Neindre et al.
647.750	71.60	0.1251	Le Neindre et al.
647.650	83.20	0.1293	Le Neindre et al.
647.650	95.10	0.1343	Le Neindre et al.
647.750	117.10	0.1415	Le Neindre et al.
647.850	119.40	0.1423	Le Neindre et al.
648.050	121.10	0.1425	Le Neindre et al.
726.550	1.00	0.1145	Le Neindre et al.
726.450	3.60	0.1153	Le Neindre et al.
725.150	40.10	0.1261	Le Neindre et al.
725.050	50.70	0.1289	Le Neindre et al.
725.150	60.80	0.1313	Le Neindre et al.
725.250	72.00	0.1348	Le Neindre et al.
725.450	81.00	0.1379	Le Neindre et al.
725.750	89.00	0.1417	Le Neindre et al.
323.35	0.101325	0.	Yorizane et al.
319.95	0.101325	0.	Yorizane et al.
316.75	0.101325	0.	Yorizane et al.
312.85	0.101325	0.	Yorizane et al.
309.35	0.101325	0.	Yorizane et al.
308.25	0.101325	0.	Yorizane et al.
303.15	0.101325	0.	Yorizane et al.
297.75	0.101325	0.	Yorizane et al.
303.15	0.101325	0.	Yorizane et al.
309.85	0.101325	0.	Yorizane et al.
316.75	0.101325	0.	Yorizane et al.
317.75	0.101325	0.	Yorizane et al.
323.45	0.101325	0.	Yorizane et al.
323.35	0.10	0.0377	Yorizane et al.
319.95	0.10	0.0375	Yorizane et al.
316.75	0.10	0.0373	Yorizane et al.
312.85	0.10	0.0367	Yorizane et al.
309.35	0.10	0.0363	Yorizane et al.
308.25	0.10	0.0357	Yorizane et al.
303.15	0.10	0.0351	Yorizane et al.
297.75	0.10	0.0344	Yorizane et al.
297.75	2.55	0.0363	Yorizane et al.
297.75	5.10	0.0389	Yorizane et al.
297.75	7.50	0.0424	Yorizane et al.
303.15	0.10	0.0351	Yorizane et al.
303.15	5.30	0.0399	Yorizane et al.
303.25	10.01	0.0463	Yorizane et al.
303.25	14.73	0.0553	Yorizane et al.
309.85	0.10	0.0366	Yorizane et al.
312.95	5.07	0.0411	Yorizane et al.
312.85	9.88	0.0466	Yorizane et al.
316.75	0.10	0.0372	Yorizane et al.
316.75	2.58	0.039	Yorizane et al.
316.75	7.60	0.0443	Yorizane et al.
316.85	9.93	0.0471	Yorizane et al.
316.65	12.31	0.0501	Yorizane et al.
316.75	17.36	0.0579	Yorizane et al.
317.75	0.10	0.0372	Yorizane et al.
317.75	5.15	0.0416	Yorizane et al.
317.75	10.00	0.0472	Yorizane et al.
317.75	14.82	0.0538	Yorizane et al.
317.75	19.71	0.0612	Yorizane et al.
323.45	0.10	0.0377	Yorizane et al.
323.45	9.96	0.0477	Yorizane et al.
323.45	14.80	0.0541	Yorizane et al.
298.15	0.101325	0.0339	 Tanaka et al.
323.15	0.101325	0.0374	 Tanaka et al.
348.15	0.101325	0.0414	 Tanaka et al.
98.9	39.82	0.28736	Ikenberry and Rice
98.93	30.44	0.26761	Ikenberry and Rice
98.99	20.31	0.22548	Ikenberry and Rice
99.01	10.13	0.21652	Ikenberry and Rice
99.02	5.12	0.21171	Ikenberry and Rice
99.02	2.56	0.20916	Ikenberry and Rice
99.03	0.16	0.2069	Ikenberry and Rice
125.47	50.67	0.21899	Ikenberry and Rice
125.49	40.68	0.21012	Ikenberry and Rice
125.55	30.41	0.20033	Ikenberry and Rice
125.53	20.41	0.18991	Ikenberry and Rice
125.54	10.15	0.17824	Ikenberry and Rice
125.61	5.08	0.17138	Ikenberry and Rice
125.62	2.43	0.16803	Ikenberry and Rice
150.23	50.74	0.19238	Ikenberry and Rice
150.25	40.54	0.18284	Ikenberry and Rice
150.28	30.44	0.17167	Ikenberry and Rice
150.28	20.48	0.15954	Ikenberry and Rice
150.28	10.13	0.1456	Ikenberry and Rice
150.29	5.04	0.1374	Ikenberry and Rice
150.3	2.62	0.13288	Ikenberry and Rice
175.13	50.67	0.16652	Ikenberry and Rice
175.14	40.58	0.15619	Ikenberry and Rice
175.17	30.41	0.14443	Ikenberry and Rice
175.15	20.41	0.13092	Ikenberry and Rice
175.16	10.13	0.11406	Ikenberry and Rice
175.15	5.13	0.10276	Ikenberry and Rice
200.2	50.67	0.14531	Ikenberry and Rice
200.2	40.41	0.13422	Ikenberry and Rice
200.21	30.41	0.12205	Ikenberry and Rice
200.22	20.28	0.10686	Ikenberry and Rice
200.18	13.01	0.0928	Ikenberry and Rice
200.18	10.17	0.08573	Ikenberry and Rice
200.18	7.63	0.07828	Ikenberry and Rice
200.1	5.11	0.04192	Ikenberry and Rice
200.08	2.48	0.001813	Ikenberry and Rice
200.08	0.28	0.000174	Ikenberry and Rice
235.01	50.74	0.020786	Ikenberry and Rice
235	40.54	0.019681	Ikenberry and Rice
235	30.68	0.018228	Ikenberry and Rice
234.99	20.28	0.015717	Ikenberry and Rice
235	13.06	0.011882	Ikenberry and Rice
234.98	10.1	0.008769	Ikenberry and Rice
234.96	5.07	0.003294	Ikenberry and Rice
234.95	2.49	0.001419	Ikenberry and Rice
110.868	0.204	0.1846	Mardolcar and de Castro
111.002	1.1	0.18559	Mardolcar and de Castro
110.971	2.236	0.187	Mardolcar and de Castro
111.202	3.27	0.18806	Mardolcar and de Castro
111.024	4.269	0.18903	Mardolcar and de Castro
110.897	5.269	0.1901	Mardolcar and de Castro
111.038	6.337	0.19104	Mardolcar and de Castro
110.718	7.404	0.19255	Mardolcar and de Castro
110.952	8.645	0.19409	Mardolcar and de Castro
124.806	0.721	0.16441	Mardolcar and de Castro
124.985	1.755	0.1662	Mardolcar and de Castro
125.059	2.719	0.16739	Mardolcar and de Castro
125.034	3.822	0.16897	Mardolcar and de Castro
124.867	4.924	0.17041	Mardolcar and de Castro
125.196	5.957	0.17213	Mardolcar and de Castro
124.728	7.06	0.17344	Mardolcar and de Castro
124.784	8.369	0.1751	Mardolcar and de Castro
155.48	1.514	0.12211	Mardolcar and de Castro
155.251	2.306	0.12285	Mardolcar and de Castro
154.953	2.891	0.12547	Mardolcar and de Castro
155.192	3.374	0.12594	Mardolcar and de Castro
154.969	4.132	0.12752	Mardolcar and de Castro
155.034	4.924	0.12908	Mardolcar and de Castro
155.285	5.648	0.13018	Mardolcar and de Castro
154.726	6.302	0.13109	Mardolcar and de Castro
154.995	7.129	0.13264	Mardolcar and de Castro
154.598	7.887	0.13403	Mardolcar and de Castro
155.167	8.576	0.13551	Mardolcar and de Castro
180.336	3.753	0.08969	Mardolcar and de Castro
180.509	4.132	0.09115	Mardolcar and de Castro
180.132	4.58	0.09303	Mardolcar and de Castro
180.172	5.027	0.09396	Mardolcar and de Castro
180.255	5.578	0.09512	Mardolcar and de Castro
180.139	6.095	0.09701	Mardolcar and de Castro
180.058	6.784	0.09901	Mardolcar and de Castro
179.989	7.335	0.10049	Mardolcar and de Castro
179.905	8.231	0.10261	Mardolcar and de Castro
139.92	59.998	0.20488	Prasad et al.
140.07	59.998	0.2047	Prasad et al.
139.95	50.001	0.19645	Prasad et al.
139.97	50.001	0.19583	Prasad et al.
140.00	40.004	0.1873	Prasad et al.
140.01	40.004	0.18737	Prasad et al.
140.09	30.006	0.17687	Prasad et al.
140.00	30.006	0.1776	Prasad et al.
120.08	10.004	0.17956	Prasad et al.
120.01	10.004	0.17965	Prasad et al.
120.08	10.004	0.17974	Prasad et al.
119.90	20.002	0.19016	Prasad et al.
119.89	20.002	0.1908	Prasad et al.
120.04	29.999	0.19996	Prasad et al.
119.91	29.999	0.20032	Prasad et al.
119.94	40.004	0.20887	Prasad et al.
119.86	40.004	0.20933	Prasad et al.
121.01	50.001	0.21299	Prasad et al.
139.90	20.002	0.16686	Prasad et al.
139.93	20.002	0.16632	Prasad et al.
139.89	10.004	0.15405	Prasad et al.
139.89	10.004	0.1542	Prasad et al.
139.89	10.004	0.15385	Prasad et al.
139.92	4.999	0.14709	Prasad et al.
139.90	4.999	0.14719	Prasad et al.
139.95	2.496	0.14324	Prasad et al.
139.95	2.496	0.14339	Prasad et al.
159.93	2.496	0.11533	Prasad et al.
159.94	2.496	0.11508	Prasad et al.
159.90	20.002	0.14377	Prasad et al.
159.89	20.002	0.14374	Prasad et al.
159.96	29.999	0.15617	Prasad et al.
159.98	29.999	0.15582	Prasad et al.
159.98	10.004	0.12931	Prasad et al.
159.98	10.004	0.12916	Prasad et al.
159.98	4.999	0.12029	Prasad et al.
160.01	4.999	0.11994	Prasad et al.
160.04	2.496	0.11518	Prasad et al.
160.00	2.496	0.11493	Prasad et al.
160.00	40.004	0.16674	Prasad et al.
160.00	40.004	0.16664	Prasad et al.
160.00	49.994	0.17681	Prasad et al.
159.95	49.994	0.17698	Prasad et al.
159.98	59.998	0.18553	Prasad et al.
159.97	59.998	0.1858	Prasad et al.
160.05	69.996	0.1936	Prasad et al.
159.94	69.996	0.19417	Prasad et al.
179.96	69.996	0.17698	Prasad et al.
180.00	69.996	0.17706	Prasad et al.
179.91	59.998	0.16828	Prasad et al.
179.96	50.001	0.15837	Prasad et al.
179.92	40.004	0.14817	Prasad et al.
179.95	29.999	0.13653	Prasad et al.
180.00	20.002	0.12291	Prasad et al.
179.98	20.002	0.12279	Prasad et al.
179.98	9.997	0.106	Prasad et al.
179.98	9.997	0.10583	Prasad et al.
179.98	4.999	0.09392	Prasad et al.
179.99	4.999	0.09416	Prasad et al.
199.99	69.996	0.16118	Prasad et al.
200.01	59.998	0.15239	Prasad et al.
200.01	59.998	0.15244	Prasad et al.
200.01	50.001	0.14254	Prasad et al.
200.00	40.004	0.13159	Prasad et al.
199.99	29.999	0.11976	Prasad et al.
199.99	20.002	0.10491	Prasad et al.
200.00	10.004	0.08495	Prasad et al.
199.99	10.004	0.08465	Prasad et al.
199.99	4.999	0.04015	Prasad et al.
220.02	69.996	0.14779	Prasad et al.
220.00	69.996	0.14789	Prasad et al.
220.05	59.998	0.13911	Prasad et al.
220.01	50.001	0.12897	Prasad et al.
220.05	40.004	0.11807	Prasad et al.
220.11	29.999	0.10542	Prasad et al.
220.00	20.002	0.08967	Prasad et al.
220.03	9.997	0.06615	Prasad et al.
240.02	69.996	0.13742	Prasad et al.
240.06	59.998	0.12856	Prasad et al.
240.00	50.001	0.1183	Prasad et al.
240.00	40.004	0.10696	Prasad et al.
240.00	29.999	0.09438	Prasad et al.
240.06	20.002	0.07835	Prasad et al.
260.03	69.996	0.12814	Prasad et al.
260.00	59.998	0.1192	Prasad et al.
260.00	50.001	0.10925	Prasad et al.
260.03	40.004	0.09859	Prasad et al.
260.05	30.006	0.0862	Prasad et al.
300.18	69.996	0.11495	Prasad et al.
299.33	69.996	0.11572	Prasad et al.
300.07	69.996	0.11475	Prasad et al.
300.08	69.996	0.11455	Prasad et al.
300.00	59.998	0.106	Prasad et al.
300.01	59.998	0.10639	Prasad et al.
300.00	49.994	0.09709	Prasad et al.
300.03	49.994	0.09722	Prasad et al.
300.03	40.004	0.08659	Prasad et al.
300.05	40.004	0.08664	Prasad et al.
299.97	29.999	0.07499	Prasad et al.
299.97	29.999	0.07509	Prasad et al.
299.96	20.002	0.06081	Prasad et al.
300.04	20.002	0.06101	Prasad et al.
300.00	9.997	0.04304	Prasad et al.
299.93	9.997	0.04314	Prasad et al.
300.24	4.999	0.03513	Prasad et al.
299.66	4.999	0.03533	Prasad et al.
299.87	4.999	0.03573	Prasad et al.
300.00	4.999	0.03581	Prasad et al.
320.02	69.996	0.11032	Prasad et al.
320.07	69.996	0.11047	Prasad et al.
320.00	59.998	0.10151	Prasad et al.
319.95	59.998	0.10196	Prasad et al.
319.95	50.001	0.0928	Prasad et al.
319.94	50.001	0.0926	Prasad et al.
319.98	40.004	0.08305	Prasad et al.
319.98	40.004	0.0829	Prasad et al.
319.96	29.999	0.07275	Prasad et al.
319.98	29.999	0.07186	Prasad et al.
320.06	20.002	0.05919	Prasad et al.
320.04	20.002	0.05919	Prasad et al.
319.98	10.004	0.04492	Prasad et al.
320.00	10.004	0.04479	Prasad et al.
339.80	69.996	0.1066	Prasad et al.
339.96	10.004	0.04718	Prasad et al.
339.98	10.004	0.04767	Prasad et al.
340.00	10.004	0.04767	Prasad et al.
340.05	69.996	0.10605	Prasad et al.
340.02	69.996	0.10566	Prasad et al.
340.00	59.998	0.09853	Prasad et al.
340.02	59.998	0.09839	Prasad et al.
339.98	50.001	0.09013	Prasad et al.
339.96	40.004	0.08133	Prasad et al.
339.95	29.999	0.07126	Prasad et al.
340.23	20.002	0.05867	Prasad et al.
400.15	69.996	0.10224	Prasad et al.
400.07	59.998	0.09535	Prasad et al.
399.99	50.001	0.08789	Prasad et al.
399.95	40.004	0.07947	Prasad et al.
399.92	29.999	0.07129	Prasad et al.
399.88	20.002	0.06387	Prasad et al.
399.89	10.004	0.05403	Prasad et al.
379.92	69.996	0.10225	Prasad et al.
379.97	59.998	0.09598	Prasad et al.
379.98	50.001	0.08808	Prasad et al.
380.03	40.004	0.07998	Prasad et al.
379.97	40.004	0.07993	Prasad et al.
379.99	30.006	0.07116	Prasad et al.
380.09	20.002	0.06176	Prasad et al.
379.91	10.004	0.05297	Prasad et al.
359.90	69.996	0.10439	Prasad et al.
357.90	69.996	0.10454	Prasad et al.
359.89	59.998	0.09662	Prasad et al.
359.89	50.001	0.08934	Prasad et al.
359.90	40.004	0.08052	Prasad et al.
359.89	30.006	0.07068	Prasad et al.
359.91	20.002	0.06069	Prasad et al.
359.94	20.002	0.06069	Prasad et al.
359.94	10.011	0.05007	Prasad et al.
260.58	69.996	0.12947	Prasad et al.
260.51	59.998	0.11932	Prasad et al.
260.48	50.001	0.10935	Prasad et al.
260.53	40.004	0.09879	Prasad et al.
260.57	29.999	0.08661	Prasad et al.
260.71	20.009	0.07173	Prasad et al.
260.90	15.003	0.06045	Prasad et al.
261.15	20.009	0.07062	Prasad et al.
261.17	9.997	0.04618	Prasad et al.
261.69	4.999	0.03265	Prasad et al.
261.93	4.999	0.03245	Prasad et al.
277.15	69.996	0.12216	Prasad et al.
277.31	59.998	0.11322	Prasad et al.
277.43	49.994	0.10341	Prasad et al.
277.72	40.004	0.09336	Prasad et al.
277.98	29.999	0.08106	Prasad et al.
278.28	20.002	0.06516	Prasad et al.
278.52	15.003	0.05587	Prasad et al.
279.19	9.997	0.04447	Prasad et al.
279.51	5.006	0.03572	Prasad et al.
279.63	5.013	0.03572	Prasad et al.
279.99	9.997	0.04461	Prasad et al.